# step, gen_loss, dis_loss
160, -1.792319E+01, -4.357752E+01
161, -1.924904E+01, -4.340954E+01
162, -1.989523E+01, -4.346533E+01
163, -2.180423E+01, -4.310680E+01
164, -1.788918E+01, -4.334479E+01
165, -2.084866E+01, -4.308083E+01
166, -2.184383E+01, -4.319825E+01
167, -1.703925E+01, -4.306583E+01
168, -1.764396E+01, -4.307252E+01
169, -1.621299E+01, -4.288835E+01
170, -1.803197E+01, -4.296929E+01
171, -1.541002E+01, -4.253999E+01
172, -1.955134E+01, -4.283002E+01
173, -2.492566E+01, -4.267749E+01
174, -1.863004E+01, -4.275520E+01
175, -1.751347E+01, -4.268436E+01
176, -1.465083E+01, -4.261361E+01
177, -1.531320E+01, -4.257557E+01
178, -1.974164E+01, -4.239689E+01
179, -1.620386E+01, -4.241642E+01
180, -1.733598E+01, -4.233685E+01
181, -1.899085E+01, -4.224267E+01
182, -1.850642E+01, -4.225499E+01
183, -1.255242E+01, -4.165131E+01
184, -2.396965E+01, -4.203910E+01
185, -1.820963E+01, -4.207577E+01
186, -1.780687E+01, -4.199355E+01
187, -2.109370E+01, -4.194132E+01
188, -1.939936E+01, -4.188372E+01
189, -1.702189E+01, -4.181812E+01
190, -1.823148E+01, -4.175608E+01
191, -2.112391E+01, -4.173399E+01
192, -1.448456E+01, -4.147171E+01
193, -1.718863E+01, -4.159433E+01
194, -2.232033E+01, -4.147664E+01
195, -1.798249E+01, -4.148460E+01
196, -1.349158E+01, -4.141327E+01
197, -1.800999E+01, -4.131050E+01
198, -1.710739E+01, -4.132298E+01
199, -2.544662E+01, -4.079143E+01
200, -1.798116E+01, -4.117665E+01
201, -1.742327E+01, -4.115875E+01
202, -1.666305E+01, -4.065078E+01
203, -2.027831E+01, -4.100769E+01
204, -1.929803E+01, -4.095423E+01
205, -1.776324E+01, -4.085221E+01
206, -1.672566E+01, -4.085502E+01
207, -1.830633E+01, -4.079080E+01
208, -1.813687E+01, -4.058412E+01
209, -1.722590E+01, -4.070398E+01
210, -1.188508E+01, -4.060197E+01
211, -1.420970E+01, -4.048017E+01
212, -1.811395E+01, -4.053829E+01
213, -1.348620E+01, -4.026707E+01
214, -1.683193E+01, -4.041061E+01
215, -2.023438E+01, -4.016051E+01
216, -1.817249E+01, -4.031219E+01
217, -1.739973E+01, -4.017113E+01
218, -1.727790E+01, -4.016112E+01
219, -1.801804E+01, -4.014301E+01
220, -1.698598E+01, -3.985271E+01
221, -1.683784E+01, -3.999306E+01
222, -1.858721E+01, -3.998322E+01
223, -1.758356E+01, -3.963477E+01
224, -1.852858E+01, -3.986684E+01
225, -1.797739E+01, -3.965237E+01
226, -1.293557E+01, -3.976610E+01
227, -2.067241E+01, -3.958487E+01
228, -1.644068E+01, -3.965097E+01
229, -1.613015E+01, -3.937490E+01
230, -1.717889E+01, -3.954495E+01
231, -1.749720E+01, -3.935134E+01
232, -1.955786E+01, -3.945552E+01
233, -1.736819E+01, -3.937387E+01
234, -2.127831E+01, -3.923242E+01
235, -1.940667E+01, -3.930080E+01
236, -1.785541E+01, -3.893063E+01
237, -2.039731E+01, -3.916091E+01
238, -2.115903E+01, -3.901178E+01
239, -1.916860E+01, -3.907526E+01
240, -2.080449E+01, -3.889844E+01
241, -1.888520E+01, -3.896149E+01
242, -1.698005E+01, -3.889355E+01
243, -2.007086E+01, -3.878465E+01
244, -1.753065E+01, -3.881303E+01
245, -1.865479E+01, -3.862353E+01
246, -1.582531E+01, -3.871363E+01
247, -2.354210E+01, -3.846872E+01
248, -2.016659E+01, -3.859441E+01
249, -1.731345E+01, -3.850488E+01
250, -2.055639E+01, -3.847374E+01
251, -1.884239E+01, -3.840486E+01
252, -2.268351E+01, -3.839779E+01
253, -1.908215E+01, -3.836033E+01
254, -2.735214E+01, -3.824843E+01
255, -2.075713E+01, -3.825048E+01
256, -1.955499E+01, -3.820678E+01
257, -1.448406E+01, -3.812183E+01
258, -2.073859E+01, -3.803239E+01
259, -1.831541E+01, -3.804430E+01
260, -1.627828E+01, -3.796254E+01
261, -1.765114E+01, -3.797643E+01
262, -2.317118E+01, -3.772451E+01
263, -1.791450E+01, -3.786615E+01
264, -2.076409E+01, -3.783118E+01
265, -2.002221E+01, -3.718198E+01
266, -1.908977E+01, -3.769743E+01
267, -2.020217E+01, -3.768900E+01
268, -1.835728E+01, -3.754404E+01
269, -1.450520E+01, -3.744479E+01
270, -1.995985E+01, -3.754352E+01
271, -2.045795E+01, -3.749733E+01
272, -2.456494E+01, -3.722794E+01
273, -1.675528E+01, -3.738749E+01
274, -1.938091E+01, -3.726938E+01
275, -2.192855E+01, -3.729531E+01
276, -2.131078E+01, -3.724543E+01
277, -1.213477E+01, -3.717783E+01
278, -2.262145E+01, -3.715569E+01
279, -1.692623E+01, -3.706033E+01
280, -1.951499E+01, -3.704510E+01
281, -1.904420E+01, -3.703106E+01
282, -2.105548E+01, -3.690133E+01
283, -1.483499E+01, -3.692090E+01
284, -1.856247E+01, -3.686098E+01
285, -1.566982E+01, -3.681116E+01
286, -1.810357E+01, -3.674760E+01
287, -1.965919E+01, -3.673190E+01
288, -2.001303E+01, -3.669458E+01
289, -2.121440E+01, -3.658128E+01
290, -1.589537E+01, -3.658460E+01
291, -1.873172E+01, -3.653256E+01
292, -2.283854E+01, -3.652769E+01
293, -2.296029E+01, -3.646938E+01
294, -3.093662E+01, -3.627694E+01
295, -1.638490E+01, -3.637224E+01
296, -2.052524E+01, -3.625228E+01
297, -1.971873E+01, -3.629764E+01
298, -1.900710E+01, -3.624506E+01
299, -1.821421E+01, -3.618802E+01
300, -2.384974E+01, -3.610343E+01
301, -2.439206E+01, -3.608296E+01
302, -2.473061E+01, -3.607173E+01
303, -2.455858E+01, -3.595931E+01
304, -1.905764E+01, -3.597230E+01
305, -2.260742E+01, -3.584647E+01
306, -2.275369E+01, -3.589586E+01
307, -2.046278E+01, -3.585261E+01
308, -6.905323E+00, -3.577821E+01
309, -1.965383E+01, -3.577483E+01
310, -2.077403E+01, -3.572897E+01
311, -1.797077E+01, -3.516668E+01
